payment_sk,payment_id,booking_sk,amount,payment_method,amount_quality
1,PAY1000,117,9883.49,NETBANKING,valid
2,PAY1001,739,8457.96,NETBANKING,valid
3,PAY1002,874,6495.37,UPI,valid
4,PAY1003,915,5079.38,NETBANKING,valid
5,PAY1004,968,12518.31,CARD,valid
6,PAY1005,999,7319.71,CARD,valid
7,PAY1006,545,8020.26,CARD,valid
8,PAY1007,44,8291.6,UPI,valid
9,PAY1008,509,7277.14,CARD,valid
10,PAY1009,988,4585.24,CARD,valid
11,PAY1010,165,2684.77,UPI,valid
12,PAY1011,368,2379.52,CARD,valid
13,PAY1012,857,11604.48,CARD,valid
14,PAY1013,292,4129.39,NETBANKING,valid
15,PAY1014,849,1779.42,UPI,valid
16,PAY1015,856,12165.24,CARD,valid
17,PAY1016,917,3156.86,CARD,valid
18,PAY1017,898,9752.05,CARD,valid
19,PAY1018,799,,CARD,missing
20,PAY1019,876,,NETBANKING,non_numeric
21,PAY1020,737,6802.73,NETBANKING,valid
22,PAY1021,286,1207.32,NETBANKING,valid
23,PAY1022,204,12774.63,NETBANKING,valid
24,PAY1023,684,8188.97,UPI,valid
25,PAY1024,524,,CARD,missing
26,PAY1025,819,4317.72,NETBANKING,valid
27,PAY1026,121,,CARD,missing
28,PAY1027,945,3644.17,UPI,valid
29,PAY1028,756,4760.39,CARD,valid
30,PAY1029,664,8481.4,CARD,valid
31,PAY1030,664,12656.53,NETBANKING,valid
32,PAY1031,188,6625.76,NETBANKING,valid
33,PAY1032,907,11037.65,UPI,valid
34,PAY1033,13,,CARD,non_numeric
35,PAY1034,603,4028.21,NETBANKING,valid
36,PAY1035,200,12300.69,NETBANKING,valid
37,PAY1036,586,11603.63,NETBANKING,valid
38,PAY1037,768,5997.12,UPI,valid
39,PAY1038,456,14853.28,CARD,valid
40,PAY1039,448,4676.01,NETBANKING,valid
41,PAY1040,788,4567.25,CARD,valid
42,PAY1041,840,11811.63,UPI,valid
43,PAY1042,841,7085.2,CARD,valid
44,PAY1043,71,5631.13,NETBANKING,valid
45,PAY1044,590,3501.28,CARD,valid
46,PAY1045,796,11714.65,CARD,valid
47,PAY1046,130,12008.51,UPI,valid
48,PAY1047,889,8931.9,UPI,valid
49,PAY1048,43,14402.39,CARD,valid
50,PAY1049,520,5454.29,CARD,valid
51,PAY1050,13,4074.67,CARD,valid
52,PAY1051,725,10484.53,UPI,valid
53,PAY1052,623,11617.72,UPI,valid
54,PAY1053,988,4148.68,CARD,valid
55,PAY1054,803,2072.55,UPI,valid
56,PAY1055,535,12347.23,NETBANKING,valid
57,PAY1056,302,14671.03,UPI,valid
58,PAY1057,766,10025.41,UPI,valid
59,PAY1058,527,4890.14,UPI,valid
60,PAY1059,642,14953.42,NETBANKING,valid
61,PAY1060,573,,NETBANKING,missing
62,PAY1061,115,8187.33,NETBANKING,valid
63,PAY1062,460,12554.5,CARD,valid
64,PAY1063,832,12421.49,CARD,valid
65,PAY1064,505,14087.19,NETBANKING,valid
66,PAY1065,308,12772.93,CARD,valid
67,PAY1066,932,10011.51,CARD,valid
68,PAY1067,963,9530.25,CARD,valid
69,PAY1068,325,7543.0,NETBANKING,valid
70,PAY1069,579,,UPI,missing
71,PAY1070,761,12133.03,NETBANKING,valid
72,PAY1071,175,,NETBANKING,missing
73,PAY1072,851,7542.02,CARD,valid
74,PAY1073,514,9031.14,CARD,valid
75,PAY1074,172,7227.28,UPI,valid
76,PAY1075,997,10358.84,UPI,valid
