route_label,source,destination,flights,bookings,avg_duration_minutes,stddev_duration_minutes,min_duration_minutes,max_duration_minutes,revenue,cancellation_rate_pct
BOM-CCU,BOM,CCU,90,87,169.51,72.02,33.0,293.0,700135.3,33.33
CCU-DEL,CCU,DEL,72,73,153.61,76.96,32.0,298.0,582851.37,36.99
MAA-BLR,MAA,BLR,65,64,172.82,79.97,34.0,300.0,492102.05,26.56
BLR-BOM,BLR,BOM,60,62,147.73,73.89,35.0,293.0,506069.04,37.1
HYD-MAA,HYD,MAA,57,57,152.81,78.42,35.0,298.0,438428.5,28.07
DEL-HYD,DEL,HYD,54,55,174.76,75.97,35.0,290.0,521798.78,27.27
HYD-DEL,HYD,DEL,42,41,185.36,78.64,35.0,291.0,305771.13,26.83
BOM-DEL,BOM,DEL,39,36,153.82,75.28,35.0,290.0,299355.97,36.11
CCU-BOM,CCU,BOM,33,34,163.97,81.22,35.0,287.0,150839.53,26.47
DEL-BOM,DEL,BOM,28,29,178.11,82.99,43.0,286.0,191097.12,41.38
DEL-BLR,DEL,BLR,28,28,167.39,73.36,33.0,270.0,199859.18,35.71
BOM-MAA,BOM,MAA,27,28,183.41,80.06,33.0,297.0,185131.03,21.43
BOM-HYD,BOM,HYD,26,26,180.85,76.73,54.0,288.0,227516.0,38.46
HYD-BLR,HYD,BLR,26,26,162.77,80.76,32.0,299.0,302331.68,38.46
HYD-BOM,HYD,BOM,27,26,155.48,86.1,36.0,300.0,148759.86,30.77
HYD-CCU,HYD,CCU,26,26,167.15,88.1,39.0,295.0,242911.11,15.38
CCU-MAA,CCU,MAA,24,24,171.29,79.96,32.0,298.0,123193.32,25.0
DEL-CCU,DEL,CCU,26,24,151.73,87.06,30.0,300.0,233036.9,45.83
BOM-BLR,BOM,BLR,23,24,176.52,70.98,56.0,293.0,145967.38,33.33
DEL-MAA,DEL,MAA,23,24,178.78,69.77,72.0,288.0,101351.18,25.0
MAA-CCU,MAA,CCU,24,24,158.54,85.72,42.0,300.0,178290.34,29.17
MAA-DEL,MAA,DEL,26,24,155.96,81.71,35.0,286.0,128295.8,8.33
BLR-CCU,BLR,CCU,21,22,128.52,75.23,49.0,282.0,128231.68,45.45
CCU-HYD,CCU,HYD,21,21,152.24,70.13,45.0,275.0,168389.53,33.33
MAA-BOM,MAA,BOM,21,21,176.76,75.05,41.0,299.0,138556.55,33.33
MAA-HYD,MAA,HYD,21,20,160.0,82.95,37.0,286.0,120344.43,40.0
CCU-BLR,CCU,BLR,19,19,174.42,73.04,37.0,291.0,132450.75,42.11
BLR-HYD,BLR,HYD,19,19,155.68,56.33,72.0,245.0,110095.06,26.32
BLR-DEL,BLR,DEL,19,17,156.95,85.17,30.0,293.0,89782.06,17.65
BLR-MAA,BLR,MAA,16,17,187.31,68.64,79.0,277.0,90963.61,29.41
