date_key,date,year,quarter,month,month_name,day,day_name,week,is_weekend
20250401,2025-04-01,2025,2,4,April,1,Tuesday,14,False
20250402,2025-04-02,2025,2,4,April,2,Wednesday,14,False
20250403,2025-04-03,2025,2,4,April,3,Thursday,14,False
20250404,2025-04-04,2025,2,4,April,4,Friday,14,False
20250405,2025-04-05,2025,2,4,April,5,Saturday,14,True
20250406,2025-04-06,2025,2,4,April,6,Sunday,14,True
20250407,2025-04-07,2025,2,4,April,7,Monday,15,False
20250408,2025-04-08,2025,2,4,April,8,Tuesday,15,False
20250409,2025-04-09,2025,2,4,April,9,Wednesday,15,False
20250410,2025-04-10,2025,2,4,April,10,Thursday,15,False
20250411,2025-04-11,2025,2,4,April,11,Friday,15,False
20250412,2025-04-12,2025,2,4,April,12,Saturday,15,True
20250413,2025-04-13,2025,2,4,April,13,Sunday,15,True
20250414,2025-04-14,2025,2,4,April,14,Monday,16,False
20250415,2025-04-15,2025,2,4,April,15,Tuesday,16,False
20250416,2025-04-16,2025,2,4,April,16,Wednesday,16,False
20250417,2025-04-17,2025,2,4,April,17,Thursday,16,False
20250418,2025-04-18,2025,2,4,April,18,Friday,16,False
20250419,2025-04-19,2025,2,4,April,19,Saturday,16,True
20250420,2025-04-20,2025,2,4,April,20,Sunday,16,True
20250421,2025-04-21,2025,2,4,April,21,Monday,17,False
20250422,2025-04-22,2025,2,4,April,22,Tuesday,17,False
20250423,2025-04-23,2025,2,4,April,23,Wednesday,17,False
20250424,2025-04-24,2025,2,4,April,24,Thursday,17,False
20250425,2025-04-25,2025,2,4,April,25,Friday,17,False
20250426,2025-04-26,2025,2,4,April,26,Saturday,17,True
20250427,2025-04-27,2025,2,4,April,27,Sunday,17,True
20250428,2025-04-28,2025,2,4,April,28,Monday,18,False
20250429,2025-04-29,2025,2,4,April,29,Tuesday,18,False
20250430,2025-04-30,2025,2,4,April,30,Wednesday,18,False
20250501,2025-05-01,2025,2,5,May,1,Thursday,18,False
20250502,2025-05-02,2025,2,5,May,2,Friday,18,False
20250503,2025-05-03,2025,2,5,May,3,Saturday,18,True
20250504,2025-05-04,2025,2,5,May,4,Sunday,18,True
20250505,2025-05-05,2025,2,5,May,5,Monday,19,False
20250506,2025-05-06,2025,2,5,May,6,Tuesday,19,False
20250507,2025-05-07,2025,2,5,May,7,Wednesday,19,False
20250508,2025-05-08,2025,2,5,May,8,Thursday,19,False
20250509,2025-05-09,2025,2,5,May,9,Friday,19,False
20250510,2025-05-10,2025,2,5,May,10,Saturday,19,True
20250511,2025-05-11,2025,2,5,May,11,Sunday,19,True
20250512,2025-05-12,2025,2,5,May,12,Monday,20,False
20250513,2025-05-13,2025,2,5,May,13,Tuesday,20,False
20250514,2025-05-14,2025,2,5,May,14,Wednesday,20,False
20250515,2025-05-15,2025,2,5,May,15,Thursday,20,False
20250516,2025-05-16,2025,2,5,May,16,Friday,20,False
20250517,2025-05-17,2025,2,5,May,17,Saturday,20,True
20250518,2025-05-18,2025,2,5,May,18,Sunday,20,True
20250519,2025-05-19,2025,2,5,May,19,Monday,21,False
20250520,2025-05-20,2025,2,5,May,20,Tuesday,21,False
20250521,2025-05-21,2025,2,5,May,21,Wednesday,21,False
20250522,2025-05-22,2025,2,5,May,22,Thursday,21,False
20250523,2025-05-23,2025,2,5,May,23,Friday,21,False
20250524,2025-05-24,2025,2,5,May,24,Saturday,21,True
20250525,2025-05-25,2025,2,5,May,25,Sunday,21,True
20250526,2025-05-26,2025,2,5,May,26,Monday,22,False
20250527,2025-05-27,2025,2,5,May,27,Tuesday,22,False
20250528,2025-05-28,2025,2,5,May,28,Wednesday,22,False
20250529,2025-05-29,2025,2,5,May,29,Thursday,22,False
