booking_sk,booking_id,flight_sk,passenger_sk,status_key,booking_date_key,seat_number
1,B1000,463,PSG_c2829255fd5b1448,1,20250614,3D
2,B1001,26,PSG_80e12e40864fdf9e,1,20251102,18A
3,B1002,536,PSG_da24c296e857b990,1,20250825,30C
4,B1003,340,PSG_6b8dafc310773343,2,20251230,33A
5,B1004,776,PSG_fe510f5b1cd53590,4,20251002,25C
6,B1005,319,PSG_c5e1fea8b018e1da,2,20250831,13D
7,B1006,411,PSG_8fd88dcb5529e388,1,20250629,17F
8,B1007,940,PSG_93a941431d3207a1,2,20260312,22E
9,B1008,516,PSG_cd9ef48f9f0c0821,4,20250907,34F
10,B1009,684,PSG_68051a336f070b9b,1,20250428,33C
11,B1010,426,PSG_deea2ba9c554bbb0,2,20251124,15B
12,B1011,450,PSG_10f520f8014bb600,2,20251025,22C
13,B1012,408,PSG_8fc5128c283d1d3e,4,20250815,28B
14,B1013,527,PSG_8f139262c7488ffb,2,20250720,26E
15,B1014,698,PSG_d89ed31a1c3fb1c7,4,20250915,21E
16,B1015,867,PSG_8afeeb49aacd8aad,5,20251021,6F
17,B1016,800,PSG_a39cd6ac5d7aaf97,1,20260113,6A
18,B1017,840,PSG_299baf7f50cd8c38,2,20260404,13B
19,B1018,196,PSG_0fd7da9e6a3d9521,1,20260325,19B
20,B1019,164,PSG_ac63ad6f9623d096,1,20250731,19A
21,B1020,638,PSG_1a79c282364d2fe8,2,20251206,27B
22,B1021,190,PSG_aeff1145591716c7,1,20251207,4E
23,B1022,351,PSG_72b1859097a1598e,2,20260325,16F
24,B1023,213,PSG_59c6bb5c73e1dade,4,20260203,24B
25,B1024,386,PSG_b327ef9685f24a32,4,20250621,30F
26,B1025,575,PSG_3d7e8bdad2276649,4,20260318,1B
27,B1026,329,PSG_3518727c43365222,2,20250627,32C
28,B1027,809,PSG_efea114579895a96,2,20250725,22A
29,B1028,765,PSG_d669610938ec1d61,1,20250525,26E
30,B1029,25,PSG_e10923053029577f,1,20250606,19C
31,B1030,236,PSG_e46700cf6408f1e8,1,20260318,21E
32,B1031,331,PSG_4235d4bb9c46b632,1,20251116,1E
33,B1032,794,PSG_6248aa1b8ffbc165,1,20250903,18E
34,B1033,799,PSG_fb45dd94e0ec2c16,5,20250506,19A
35,B1034,705,PSG_acc87a6d7fe91a19,2,20251231,22F
36,B1035,250,PSG_fa8aa99dadef34d4,4,20250821,11D
37,B1036,675,PSG_50af0baf01127ebb,4,20251124,5B
38,B1037,459,PSG_0293cb54bc5c6767,4,20260320,33E
39,B1038,619,PSG_e161084a3576b5d4,4,20260101,12D
40,B1039,731,PSG_ad32a620944f5141,2,20250821,11E
41,B1040,99,PSG_9a0030c32df8b5c9,2,20250808,26B
42,B1041,949,PSG_c03fae797ba9082d,2,20250528,25C
43,B1042,973,PSG_4c22ae157429e6ca,1,20251202,24F
44,B1043,195,PSG_c45e9407751bbc9e,1,20251122,8E
45,B1044,174,PSG_86c04e76a53c22a0,4,20260412,16C
46,B1045,740,PSG_99e2e7edb2cd6c97,5,20260319,18C
47,B1046,832,PSG_0feab23ffe94d7c8,2,20251014,2C
48,B1047,151,PSG_1f449667c6d8e461,4,20251229,7C
49,B1048,762,PSG_e4ab0da72b5aea1f,4,20250919,18C
50,B1049,679,PSG_72b1859097a1598e,3,20250728,3C
51,B1050,491,PSG_2048a2733291face,4,20260115,7D
52,B1051,28,PSG_8b9a3008990c437a,1,20250705,16A
53,B1052,982,PSG_d3061ea559f19e4c,1,20251230,33B
54,B1053,989,PSG_c3d400bce98a9a1a,4,20260401,28B
55,B1054,403,PSG_319988137a8aaac3,1,20260411,19C
56,B1055,12,PSG_028e4bf75914d8c8,1,20251014,13F
57,B1056,946,PSG_0aada988e6b5b0c2,1,20260324,15B
58,B1057,573,PSG_5590fc1b689b6a9b,1,20250820,14F
59,B1058,569,PSG_c9c91dd007810a7a,4,20251207,8C
60,B1059,913,PSG_93a50dddf3c35569,2,20260103,23B
61,B1060,86,PSG_e55f88e528d61491,2,20251230,11A
62,B1061,114,PSG_7c42f75c383b86f9,1,20260405,19C
63,B1062,926,PSG_a099c693e1aebd75,1,20250612,15D
64,B1063,149,PSG_c1c86b51feb4047e,1,20250519,9A
65,B1064,918,PSG_e2ff672c67dba849,2,20250914,24E
66,B1065,783,PSG_db63fd9f13030c4b,1,20260306,7B
67,B1066,529,PSG_316ea5a323769702,4,20251105,1B
