flight_sk,flight_id,airline_key,route_key,departure_date_key,departure_ts,arrival_ts,duration_minutes,is_overnight,is_red_eye,departure_hour,was_corrected,correction_reason
-1,UNKNOWN,4,-1,,,,,,,,False,quarantined_flight_placeholder
1,6F001,2,22,20260419,2026-04-19 11:33:41.700,2026-04-19 13:08:41.700,95.0,False,False,11,False,
2,6F002,2,5,20260417,2026-04-17 14:11:41.700,2026-04-17 17:34:41.700,203.0,False,False,14,False,
3,6F003,2,22,20260419,2026-04-19 20:06:41.700,2026-04-19 23:13:41.700,187.0,False,False,20,False,
4,6F004,2,7,20260418,2026-04-18 19:53:41.701,2026-04-18 23:33:41.701,220.0,False,False,19,False,
5,6F005,2,10,20260419,2026-04-19 11:04:41.701,2026-04-19 15:27:41.701,263.0,False,False,11,False,
6,6F006,2,6,20260418,2026-04-18 03:06:41.701,2026-04-18 05:06:42.000,120.0,False,True,3,False,
7,6F007,2,25,20260419,2026-04-19 18:55:41.701,2026-04-19 19:54:41.701,59.0,False,False,18,False,
8,6F008,2,17,20260418,2026-04-18 00:14:41.701,2026-04-18 04:59:41.701,285.0,False,True,0,False,
9,6F009,2,2,20260418,2026-04-18 20:21:41.701,2026-04-18 23:36:41.701,195.0,False,False,20,False,
10,6F010,2,16,20260419,2026-04-19 23:53:41.701,2026-04-20 03:44:41.701,231.0,True,True,23,False,
11,6F011,2,26,20260417,2026-04-17 15:16:41.701,2026-04-17 17:16:42.000,120.0,False,False,15,False,
12,6F012,2,14,20260420,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,205.0,False,False,18,False,
13,6F013,2,7,20260419,2026-04-19 13:15:41.701,2026-04-19 18:05:41.701,290.0,False,False,13,False,
14,6F014,2,20,20260419,2026-04-19 19:42:41.701,2026-04-19 23:15:41.701,213.0,False,False,19,False,
15,6F015,2,7,20260418,2026-04-18 23:39:41.701,2026-04-19 02:27:41.701,168.0,True,True,23,False,
16,6F016,2,22,20260418,2026-04-18 22:18:41.701,2026-04-18 22:54:41.701,36.0,False,True,22,False,
17,6F017,2,12,20260420,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,161.0,False,False,15,False,
18,6F018,2,16,20260420,2026-04-20 10:57:41.701,2026-04-20 11:43:41.701,46.0,False,False,10,False,
19,6F019,2,1,20260420,2026-04-20 00:19:41.701,2026-04-20 04:14:41.701,235.0,False,True,0,False,
20,6F020,2,9,20260419,2026-04-19 14:58:41.701,2026-04-19 16:43:41.701,105.0,False,False,14,False,
21,6F021,2,5,20260418,2026-04-18 21:23:41.701,2026-04-19 01:25:41.701,242.0,True,False,21,False,
22,6F022,2,26,20260419,2026-04-19 21:46:41.701,2026-04-20 02:05:41.701,259.0,True,False,21,False,
23,6F023,2,26,20260418,2026-04-18 20:18:41.701,2026-04-19 00:14:41.701,236.0,True,False,20,False,
24,6F024,2,8,20260419,2026-04-19 07:31:41.701,2026-04-19 11:17:41.701,226.0,False,False,7,False,
25,6F025,2,1,20260420,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,False,True,23,False,
26,6F026,2,7,20260420,2026-04-20 22:46:42.000,2026-04-21 03:13:42.000,267.0,True,True,22,False,
27,6F027,2,3,20260418,2026-04-18 16:52:41.701,2026-04-18 18:21:41.701,89.0,False,False,16,False,
28,6F028,2,23,20260420,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,120.0,False,False,19,False,
29,6F029,2,6,20260420,2026-04-20 07:31:41.701,2026-04-20 11:45:41.701,254.0,False,False,7,False,
30,6F030,2,8,20260420,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,170.0,False,False,14,False,
31,6F031,2,6,20260420,2026-04-20 02:00:41.701,2026-04-20 06:37:41.701,277.0,False,True,2,False,
32,6F032,2,17,20260417,2026-04-17 23:43:41.701,2026-04-18 02:22:41.701,159.0,True,True,23,False,
33,6F033,2,19,20260418,2026-04-18 07:08:41.701,2026-04-18 09:08:41.701,120.0,False,False,7,False,
34,6F034,2,8,20260420,2026-04-20 11:53:41.701,2026-04-20 12:49:41.701,56.0,False,False,11,False,
35,6F035,2,14,20260418,2026-04-18 19:16:41.701,2026-04-18 23:40:41.701,264.0,False,False,19,False,
36,6F036,2,11,20260420,2026-04-20 02:14:41.701,2026-04-20 06:57:41.701,283.0,False,True,2,False,
37,6F037,2,10,20260418,2026-04-18 14:51:41.701,2026-04-18 17:23:41.701,152.0,False,False,14,False,
38,6F038,2,25,20260419,2026-04-19 15:36:41.701,2026-04-19 19:33:41.701,237.0,False,False,15,False,
39,6F039,2,28,20260418,2026-04-18 16:43:41.701,2026-04-18 21:01:41.701,258.0,False,False,16,False,
40,6F040,2,23,20260417,2026-04-17 15:52:41.701,2026-04-17 20:33:41.701,281.0,False,False,15,False,
41,6F041,2,27,20260419,2026-04-19 13:19:41.701,2026-04-19 16:48:41.701,209.0,False,False,13,False,
42,6F042,2,24,20260418,2026-04-18 22:35:41.701,2026-04-19 02:41:41.701,246.0,True,True,22,False,
43,6F043,2,9,20260420,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,86.0,False,False,17,False,
44,6F044,2,19,20260417,2026-04-17 13:25:41.701,2026-04-17 17:36:41.701,251.0,False,False,13,False,
45,6F045,2,9,20260417,2026-04-17 23:04:41.701,2026-04-18 03:38:41.701,274.0,True,True,23,False,
46,6F046,2,16,20260420,2026-04-20 01:27:41.701,2026-04-20 05:08:41.701,221.0,False,True,1,False,
47,6F047,2,29,20260420,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,125.0,False,False,13,False,
48,6F048,2,24,20260418,2026-04-18 10:27:41.701,2026-04-18 11:18:41.701,51.0,False,False,10,False,
49,6F049,2,24,20260420,2026-04-20 10:00:41.701,2026-04-20 13:13:41.701,193.0,False,False,10,False,
50,6F050,2,17,20260419,2026-04-19 00:35:41.701,2026-04-19 04:32:41.701,237.0,False,True,0,False,
51,6F051,2,1,20260420,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,120.0,False,False,13,False,
52,6F052,2,7,20260419,2026-04-19 09:13:41.701,2026-04-19 12:02:41.701,169.0,False,False,9,False,
53,6F053,2,19,20260418,2026-04-18 20:26:41.701,2026-04-19 00:39:41.701,253.0,True,False,20,False,
54,6F054,2,21,20260417,2026-04-17 22:00:41.701,2026-04-18 01:25:41.701,205.0,True,True,22,False,
55,6F055,2,18,20260418,2026-04-18 16:21:41.701,2026-04-18 18:49:41.701,148.0,False,False,16,False,
56,6F056,2,10,20260420,2026-04-20 07:00:41.701,2026-04-20 08:49:41.701,109.0,False,False,7,False,
57,6F057,2,29,20260417,2026-04-17 12:32:41.701,2026-04-17 15:50:41.701,198.0,False,False,12,False,
58,6F058,2,7,20260420,2026-04-20 01:04:41.701,2026-04-20 03:33:41.701,149.0,False,True,1,False,
