route_label,bookings,revenue,avg_payment
BOM-CCU,56,700135.3,8538.24
CCU-DEL,50,582851.37,7876.37
DEL-HYD,40,521798.78,8153.11
BLR-BOM,42,506069.04,8296.21
MAA-BLR,42,492102.05,8067.25
HYD-MAA,36,438428.5,8431.32
HYD-DEL,30,305771.13,8264.08
HYD-BLR,19,302331.68,8398.1
BOM-DEL,26,299355.97,8315.44
HYD-CCU,19,242911.11,8996.71
DEL-CCU,15,233036.9,9321.48
BOM-HYD,15,227516.0,9479.83
DEL-BLR,22,199859.18,5710.26
DEL-BOM,19,191097.12,7643.88
BOM-MAA,15,185131.03,7120.42
MAA-CCU,13,178290.34,9383.7
CCU-HYD,14,168389.53,8018.55
CCU-BOM,16,150839.53,6856.34
HYD-BOM,16,148759.86,7083.8
BOM-BLR,13,145967.38,7682.49
MAA-BOM,14,138556.55,8150.39
CCU-BLR,14,132450.75,8830.05
MAA-DEL,13,128295.8,7546.81
BLR-CCU,11,128231.68,8014.48
CCU-MAA,13,123193.32,6844.07
MAA-HYD,12,120344.43,6685.8
BLR-HYD,10,110095.06,7339.67
DEL-MAA,14,101351.18,7239.37
BLR-MAA,9,90963.61,6997.2
BLR-DEL,8,89782.06,8162.01
